,Achievement,Aesthetic,Anxiety Disorder,Breadth of Interest,Economic,Empathy,Organization,Political,Positive coping,Religious,Resilience,Social,Social Complexity,Social Cynicism,Theoretical,Uncertainty Avoidance,Understanding
1897.0,4/12/58/2/1/14,1/6/67/8/1/8,11/4/59/2/7/8,4/5/65/2/5/10,14/5/55/4/0/13,2/0/72/1/2/14,9/2/63/0/0/17,8/7/59/3/3/11,7/9/58/1/0/16,5/6/63/0/5/12,0/0/74/3/0/14,8/6/60/11/2/4,0/3/71/4/0/13,1/3/70/0/2/15,1/2/71/5/1/11,11/9/54/1/0/16,4/2/68/0/2/15
2246.0,7/21/46/4/1/12,9/31/34/8/1/8,16/13/45/2/5/10,12/4/58/5/2/10,14/16/44/6/3/8,4/8/62/1/12/4,9/9/56/0/0/17,8/29/37/1/10/6,11/22/41/6/3/8,12/17/45/2/9/6,4/9/61/2/7/8,4/40/30/8/5/4,12/15/47/0/1/16,8/16/50/0/6/11,6/43/25/2/7/8,26/22/26/3/0/14,3/3/68/0/1/16
2509.0,11/11/52/1/1/15,7/34/33/8/3/6,14/17/43/2/5/10,15/13/46/2/6/9,25/8/41/6/1/10,9/14/51/6/6/5,19/8/47/0/0/17,24/22/28/0/14/3,9/23/42/1/4/12,14/33/27/0/10/7,0/5/69/6/3/8,19/28/27/5/7/5,29/1/44/2/5/10,5/36/33/0/11/6,10/44/20/1/12/4,21/30/23/4/2/11,14/1/59/1/6/10
4305.0,12/21/41/6/1/10,33/26/15/0/13/4,22/16/36/4/6/7,12/22/40/4/7/6,29/24/21/5/5/7,1/24/49/3/9/5,15/18/41/0/3/14,14/39/21/2/11/4,25/26/23/2/6/9,12/48/14/2/6/9,2/36/36/8/6/3,12/44/18/3/10/4,17/25/32/9/1/7,6/43/25/2/11/4,11/47/16/12/4/1,29/21/24/0/16/1,8/0/66/0/14/3
7754.0,2/64/8/0/17/0,26/34/14/1/12/4,64/4/6/15/0/2,0/72/2/2/13/2,28/26/20/14/0/3,0/74/0/0/17/0,0/74/0/0/17/0,48/13/13/2/6/9,2/67/5/0/17/0,16/41/17/3/7/7,0/74/0/1/13/3,7/63/4/3/10/4,0/74/0/0/17/0,73/0/1/10/4/3,1/72/1/4/8/5,44/21/9/7/4/6,0/74/0/0/17/0
8035.0,1/3/70/2/0/15,2/12/60/3/0/14,4/3/67/1/0/16,2/3/69/1/3/13,6/1/67/0/0/17,1/3/70/3/0/14,3/0/71/0/0/17,1/7/66/0/1/16,4/3/67/1/1/15,6/2/66/0/1/16,0/1/73/1/0/16,1/7/66/3/1/13,1/1/72/3/0/14,6/3/65/1/2/14,2/8/64/5/1/11,4/16/54/1/0/16,0/1/73/0/1/16
8546.0,9/13/52/4/0/13,15/24/35/0/10/7,7/18/49/5/2/10,10/15/49/3/4/10,19/7/48/7/2/8,4/6/64/5/1/11,16/2/56/0/0/17,14/21/39/1/8/8,20/12/42/3/4/10,12/25/37/3/5/9,2/4/68/1/4/12,9/28/37/6/3/8,5/22/47/4/0/13,20/11/43/2/2/13,4/26/44/6/2/9,39/15/20/2/1/14,5/3/66/1/1/15
9332.0,30/20/24/3/6/8,32/31/11/8/9/0,29/30/15/8/2/7,7/47/20/9/2/6,35/13/26/11/1/5,7/50/17/0/15/2,21/22/31/0/7/10,40/14/20/11/5/1,33/16/25/2/8/7,38/15/21/7/5/5,22/16/36/9/5/3,21/37/16/7/3/7,23/29/22/12/3/2,58/7/9/8/4/5,30/30/14/11/2/4,45/17/12/4/10/3,9/31/34/1/7/9
12477.0,3/3/68/0/2/15,5/9/60/1/1/15,3/4/67/1/0/16,4/3/67/2/1/14,17/2/55/0/0/17,2/2/70/2/0/15,5/0/69/0/0/17,6/7/61/2/0/15,5/3/66/0/2/15,5/9/60/1/3/13,0/1/73/0/0/17,5/3/66/4/2/11,2/3/69/0/0/17,5/3/66/1/0/16,3/7/64/0/2/15,3/13/58/3/0/14,1/0/73/0/1/16
13033.0,8/55/11/9/3/5,31/27/16/4/10/3,38/21/15/8/5/4,7/57/10/10/4/3,25/37/12/4/11/2,4/60/10/3/9/5,7/60/7/0/15/2,45/18/11/7/10/0,17/45/12/3/12/2,26/40/8/6/9/2,3/62/9/1/14/2,23/37/14/5/11/1,8/58/8/0/15/2,40/20/14/3/11/3,23/41/10/3/8/6,34/28/12/7/8/2,9/52/13/0/15/2
20141.0,27/14/33/3/3/11,29/29/16/0/16/1,29/21/24/6/6/5,11/26/37/6/6/5,21/18/35/2/4/11,17/20/37/6/3/8,7/16/51/0/0/17,16/37/21/5/10/2,13/29/32/1/6/10,20/38/16/1/13/3,12/24/38/5/5/7,22/29/23/10/6/1,18/22/34/3/9/5,23/23/28/1/10/6,11/41/22/1/14/2,32/23/19/4/3/10,3/19/52/0/12/5
21347.0,4/5/65/2/1/14,10/3/61/1/2/14,4/8/62/1/1/15,6/7/61/2/3/12,12/7/55/0/1/16,2/4/68/1/1/15,5/0/69/0/0/17,8/9/57/2/2/13,3/12/59/0/1/16,15/7/52/1/4/12,0/1/73/1/0/16,10/8/56/6/2/9,1/3/70/1/1/15,5/4/65/1/0/16,4/4/66/6/1/10,12/11/51/2/0/15,1/2/71/0/0/17
30919.0,15/28/31/6/5/6,25/31/18/1/15/1,21/26/27/6/7/4,10/34/30/5/6/6,20/18/36/7/3/7,6/15/53/4/6/7,17/13/44/0/0/17,18/36/20/5/5/7,22/26/26/5/6/6,11/40/23/3/7/7,5/5/64/2/7/8,35/26/13/5/8/4,30/10/34/5/3/9,9/37/28/5/7/5,17/45/12/8/5/4,39/16/19/10/1/6,12/12/50/1/8/8
34598.0,10/6/58/1/1/15,7/18/49/5/2/10,10/13/51/1/3/13,3/6/65/2/4/11,9/4/61/3/2/12,3/4/67/3/0/14,5/2/67/0/0/17,9/11/54/4/1/12,5/16/53/3/2/12,11/9/54/0/3/14,2/1/71/0/2/15,18/11/45/6/0/11,7/3/64/0/2/15,3/15/56/0/0/17,1/10/63/4/1/12,10/20/44/4/0/13,0/3/71/0/0/17
41929.0,6/11/57/1/4/12,11/32/31/2/8/7,11/11/52/4/4/9,5/14/55/1/3/13,14/9/51/2/1/14,4/8/62/7/0/10,11/5/58/0/0/17,13/22/39/3/2/12,11/21/42/2/4/11,8/31/35/1/4/12,3/0/71/5/2/10,15/25/34/7/3/7,26/4/44/6/0/11,22/10/42/2/4/11,9/18/47/7/0/10,20/25/29/2/3/12,4/5/65/0/0/17
47207.0,10/21/43/3/1/13,12/31/31/2/14/1,17/17/40/4/4/9,8/18/48/2/7/8,19/16/39/1/10/6,3/27/44/3/7/7,8/12/54/0/0/17,13/35/26/2/6/9,9/40/25/4/2/11,2/53/19/4/6/7,3/31/40/4/7/6,18/26/30/2/10/5,23/17/34/5/4/8,11/20/43/4/5/8,14/41/19/3/9/5,22/28/24/2/4/11,11/1/62/1/4/12
48321.0,16/20/38/6/4/7,34/18/22/1/14/2,13/20/41/4/6/7,8/29/37/4/4/9,12/20/42/5/6/6,0/25/49/4/5/8,11/10/53/0/0/17,15/32/27/1/10/6,24/7/43/6/7/4,15/19/40/3/4/10,6/5/63/6/5/6,12/42/20/5/7/5,17/4/53/5/1/11,15/23/36/0/11/6,4/54/16/2/6/9,36/16/22/11/0/6,3/11/60/1/8/8
49202.0,10/5/59/3/2/12,32/8/34/4/7/6,12/19/43/5/1/11,6/11/57/3/4/10,16/16/42/5/3/9,2/14/58/7/0/10,8/4/62/0/0/17,34/10/30/5/3/9,17/5/52/4/3/10,17/13/44/2/3/12,3/1/70/3/6/8,11/36/27/4/6/7,6/7/61/0/4/13,24/11/39/2/6/9,9/17/48/3/2/12,17/25/32/7/0/10,5/8/61/1/1/15
51010.0,3/5/66/3/2/12,13/20/41/4/7/6,13/12/49/3/3/11,8/7/59/2/3/12,28/8/38/4/0/13,5/5/64/0/8/9,16/2/56/0/0/17,14/23/37/6/4/7,12/10/52/4/4/9,4/32/38/1/5/11,2/2/70/5/1/11,7/33/34/3/6/8,7/20/47/5/1/11,15/10/49/2/4/11,5/20/49/6/3/8,22/24/28/0/1/16,3/4/67/0/4/13
54606.0,8/14/52/3/2/12,12/21/41/1/7/9,10/8/56/3/2/12,5/11/58/2/3/12,23/4/47/3/1/13,13/3/58/3/1/13,7/3/64/0/0/17,10/19/45/6/1/10,12/18/44/3/0/14,7/10/57/3/6/8,4/0/70/2/5/10,17/9/48/7/1/9,3/11/60/3/0/14,13/14/47/4/2/11,2/15/57/7/2/8,23/18/33/1/2/14,1/3/70/0/3/14
58305.0,8/10/56/1/2/14,3/27/44/0/6/11,8/9/57/3/5/9,10/3/61/2/4/11,1/16/57/3/3/11,6/6/62/3/4/10,5/8/61/0/0/17,16/21/37/1/2/14,5/16/53/2/2/13,5/28/41/4/2/11,2/2/70/1/4/12,4/27/43/5/2/10,2/6/66/5/2/10,14/6/54/2/4/11,6/17/51/4/4/9,20/28/26/2/0/15,4/2/68/0/1/16
60312.0,16/20/38/6/4/7,32/28/14/2/11/4,27/22/25/8/3/6,11/22/41/6/5/6,40/15/19/3/7/7,14/35/25/11/4/2,9/27/38/0/0/17,39/19/16/4/8/5,44/12/18/3/6/8,23/37/14/13/1/3,4/7/63/10/3/4,36/14/24/6/6/5,24/14/36/5/3/9,20/30/24/6/7/4,18/40/16/9/3/5,36/22/16/9/0/8,7/8/59/1/10/6
62769.0,18/21/35/6/2/9,24/34/16/3/13/1,31/19/24/4/3/10,4/22/48/3/6/8,37/18/19/16/0/1,7/22/45/5/5/7,8/24/42/0/0/17,46/10/18/5/9/3,18/15/41/0/5/12,20/35/19/13/2/2,4/11/59/4/7/6,12/37/25/10/6/1,10/9/55/4/4/9,34/11/29/10/3/4,22/25/27/8/5/4,40/22/12/5/3/9,3/7/64/0/4/13
63905.0,19/12/43/6/3/8,20/20/34/1/11/5,19/22/33/4/6/7,12/19/43/3/7/7,34/7/33/4/6/7,8/24/42/7/4/6,19/8/47/0/0/17,24/28/22/6/3/8,12/27/35/6/4/7,19/15/40/9/5/3,2/24/48/11/0/6,40/19/15/6/5/6,16/20/38/5/6/6,42/9/23/7/6/4,5/52/17/17/0/0,22/28/24/8/3/6,10/7/57/0/2/15
